Age,Sex,Method_of_payment,Fidelizacion_media,Discount,Times_per_week,Favorite_class,Income,Current_membership,Fidelizacion_alta
0.20512820512820518,1.0,0.5,0.0,0.0,0.025,1.0,0.0,1.0,0.0
0.9999999999999999,0.0,0.5,0.0,0.0,0.025,1.0,0.062293880542323196,0.8076923076923077,0.0
0.3846153846153846,0.0,0.5,1.0,0.0,0.0,0.42857142857142855,0.021986075485525832,0.0,1.0
0.3846153846153846,0.0,0.0,1.0,0.1141422212076247,0.07500000000000001,0.8571428571428571,0.6594210333455478,0.3076923076923077,1.0
0.4358974358974359,0.0,0.5,1.0,0.0,0.07500000000000001,0.8571428571428571,0.5256577500916086,0.11538461538461539,1.0
0.41025641025641024,0.0,0.5,0.0,0.05707111060381235,0.07500000000000001,0.42857142857142855,0.1797361670941737,0.2692307692307693,0.0
0.3846153846153846,0.0,0.5,0.0,0.1141422212076247,0.15000000000000002,0.8571428571428571,0.05478197141810187,0.38461538461538464,0.0
0.46153846153846156,0.0,0.0,1.0,0.1141422212076247,0.125,0.42857142857142855,0.7150054965188714,0.2692307692307693,1.0
0.5128205128205128,1.0,0.0,1.0,0.1141422212076247,0.1,0.42857142857142855,0.7192194943202638,0.2692307692307693,1.0
0.3846153846153846,0.0,0.5,0.0,0.0,0.025,1.0,0.03664345914254306,0.0,0.0
0.41025641025641024,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.03627702455111762,0.0,0.0
0.3846153846153846,0.0,0.5,0.0,0.0,0.275,0.42857142857142855,0.028948332722609015,0.8076923076923077,0.0
0.3846153846153846,1.0,0.5,0.0,0.0,0.2,0.42857142857142855,0.028948332722609015,0.8076923076923077,0.0
0.28205128205128205,1.0,0.5,0.0,0.0,0.025,0.8571428571428571,0.16672773909857092,0.38461538461538464,0.0
0.33333333333333337,0.0,0.5,0.0,0.0,0.07500000000000001,0.8571428571428571,0.1703920850128252,0.38461538461538464,0.0
0.2564102564102564,0.0,0.0,1.0,0.08058440817258303,0.1,0.42857142857142855,0.5127152803224625,0.8076923076923077,1.0
0.28205128205128205,0.0,1.0,0.0,0.0,0.325,0.8571428571428571,0.06009527299377061,0.8846153846153847,0.0
0.3076923076923077,1.0,0.0,1.0,0.0,0.025,0.8571428571428571,0.48491388787101497,0.8846153846153847,1.0
0.33333333333333337,1.0,0.0,1.0,0.0,0.025,0.8571428571428571,0.5930377427629169,0.8846153846153847,1.0
0.41025641025641024,0.0,0.5,1.0,0.0,0.05,0.8571428571428571,0.5789666544521803,0.8846153846153847,1.0
0.41025641025641024,0.0,0.0,1.0,0.0,0.05,0.8571428571428571,0.6605862953462807,0.11538461538461539,1.0
0.3846153846153846,1.0,0.5,0.0,0.0,0.025,0.7142857142857142,0.0,1.0,0.0
0.3846153846153846,1.0,0.5,0.0,0.0,0.0,0.8571428571428571,0.012704287284719678,0.38461538461538464,0.0
0.17948717948717952,1.0,0.0,1.0,0.0,0.07500000000000001,0.8571428571428571,0.40307805056797363,0.11538461538461539,1.0
0.20512820512820518,0.0,1.0,0.0,0.0,0.025,0.8571428571428571,0.0348112861854159,0.3076923076923077,0.0
0.3846153846153846,0.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.023818248442652987,0.38461538461538464,0.0
0.4358974358974359,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.023818248442652987,0.38461538461538464,0.0
0.4358974358974359,1.0,0.0,1.0,0.0,0.07500000000000001,0.8571428571428571,0.5508318065225357,0.3076923076923077,1.0
0.3076923076923077,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,0.3371198241113961,0.38461538461538464,1.0
0.33333333333333337,0.0,0.5,0.0,0.0,0.0,0.7142857142857142,0.02015390252839868,0.576923076923077,0.0
0.923076923076923,0.0,0.0,1.0,0.0,0.025,0.8571428571428571,0.3451813851227556,0.38461538461538464,1.0
0.3846153846153846,0.0,0.5,0.0,0.0,0.0,0.8571428571428571,0.01905459875412239,0.38461538461538464,0.0
0.3846153846153846,0.0,0.5,0.0,0.0,0.025,1.0,0.010993037742762916,0.7692307692307693,0.0
0.2564102564102564,1.0,0.5,1.0,0.0,0.025,1.0,0.03627702455111762,0.2692307692307693,1.0
0.3589743589743589,0.0,0.0,1.0,0.0,0.07500000000000001,0.8571428571428571,0.5760828142176622,0.3076923076923077,1.0
0.41025641025641024,0.0,0.0,1.0,0.0,0.05,0.8571428571428571,0.39149871747893006,0.8846153846153847,1.0
0.33333333333333337,1.0,0.5,0.0,0.0,0.0,0.8571428571428571,0.01282521069989007,0.38461538461538464,0.0
0.23076923076923073,1.0,0.5,0.0,0.0,0.05,0.8571428571428571,0.02565042139978014,0.38461538461538464,0.0
0.3846153846153846,0.0,0.5,0.0,0.0,0.025,1.0,0.01902894833272261,0.8846153846153847,0.0
0.23076923076923073,1.0,0.5,0.0,0.1141422212076247,0.0,0.8571428571428571,0.01282521069989007,0.38461538461538464,0.0
0.3076923076923077,1.0,0.5,0.0,0.0,0.4,0.8571428571428571,0.28432759252473433,0.3076923076923077,0.0
0.17948717948717952,1.0,0.5,0.0,0.0,0.2,0.8571428571428571,0.1703920850128252,0.7307692307692308,0.0
0.46153846153846156,1.0,0.5,0.0,0.0,0.025,1.0,0.01282521069989007,0.38461538461538464,0.0
0.4358974358974359,0.0,0.5,0.0,0.040292204086291514,0.0,0.8571428571428571,0.030047636496885306,0.8846153846153847,0.0
0.3846153846153846,1.0,0.5,0.0,0.0,0.05,0.14285714285714285,0.01282521069989007,0.38461538461538464,0.0
